No,Team,Season
1,AC Milan,2024-25
2,Arsenal,2024-25
3,Aston Villa,2024-25
4,Atalanta,2024-25
5,Atletico Madrid,2024-25
6,Bayer Leverkusen,2024-25
7,Bayern Munich,2024-25
8,Benfica,2024-25
9,Bologna,2024-25
10,Borussia Dortmund,2024-25
11,Brest,2024-25
12,Celtic,2024-25
13,Club Brugge,2024-25
14,Crvena Zvezda,2024-25
15,Dinamo Zagreb,2024-25
16,FC Barcelona,2024-25
17,Feyenoord,2024-25
18,Girona,2024-25
19,Inter Milan,2024-25
20,Juventus,2024-25
21,Lille,2024-25
22,Liverpool,2024-25
23,Manchester City,2024-25
24,Monaco,2024-25
25,PSG,2024-25
26,PSV Eindhoven,2024-25
27,Porto,2024-25
28,RB Leipzig,2024-25
29,RB Salzburg,2024-25
30,Real Madrid,2024-25
31,Red Star Belgrade,2024-25
32,Shakhtar Donetsk,2024-25
33,Slavia Prague,2024-25
34,Sparta Prague,2024-25
35,Sporting CP,2024-25
36,Stade Brestois,2024-25
37,Sturm Graz,2024-25
38,Stuttgart,2024-25
39,Young Boys,2024-25
